name,link
العجمي,https://ia801901.us.archive.org/zip_dir.php?path=/29/items/jam3_11.zip&formats=VBR%20MP3
ادريس ابكر,https://ia800302.us.archive.org/zip_dir.php?path=/21/items/quraan_idrees-abkar.co.cc.zip&formats=VBR%20MP3
عبدالباسط,https://ia903100.us.archive.org/zip_dir.php?path=/30/items/ABDEL-BASIT.ABDEL-SAMAD.MUJAWAD.FULL.HQ.BY-MAHMOUD-ZIED.zip&formats=VBR%20MP3
اسلام صبحي,https://ia601406.us.archive.org/zip_dir.php?path=/12/items/002_20221103_202211.zip&formats=VBR%20MP3
خالد القحطانى ,https://ia904706.us.archive.org/3/items/TvQuran.com__Al-QahtaniZip/TvQuran.com__Al-Qahtani.zip
سعد الغامدي,https://ia600202.us.archive.org/27/items/TvQuran.com__Al-GhamdiZip/TvQuran.com__Al-Ghamdi.zip
محمود الطبلاوي,https://ia600601.us.archive.org/zip_dir.php?path=/27/items/quraan-karem-mahmoud-tablawy.zip&formats=VBR%20MP3
عبد الرحمن السديسي,https://ia804700.us.archive.org/zip_dir.php?path=/29/items/sudais_2.zip&formats=VBR%20MP3
علي الحذيفي,https://ia600208.us.archive.org/9/items/TvQuran.com__Ali-AlhuthaifiZip/TvQuran.com__Ali-Alhuthaifi.zip
ماهر المعيقلي,https://ia600307.us.archive.org/27/items/TvQuran.com__MaherZip/TvQuran.com__Maher.zip
محمد أيوب,https://ia800205.us.archive.org/zip_dir.php?path=/14/items/www.elahmad.com_35.zip&formats=VBR%20MP3
محمد رفعت,https://ia600301.us.archive.org/zip_dir.php?path=/33/items/05729aM.Refat.zip&formats=VBR%20MP3
محمد صديق المنشاوي ,https://ia600203.us.archive.org/28/items/TvQuran.com__Al-MinshawiZip/TvQuran.com__Al-Minshawi.zip
محمود خليل الحصري,https://ia600201.us.archive.org/8/items/TvQuran.com__Al-HussaryZip/TvQuran.com__Al-Hussary.zip
محمود علي البنا ,https://ia600602.us.archive.org/zip_dir.php?path=/15/items/Al_Banna_Mujawwed.zip&formats=VBR%20MP3
مشاري العفاسي,https://ia601503.us.archive.org/zip_dir.php?path=/4/items/fm_002_20150413_0654.zip&formats=VBR%20MP3
ياسر الدوسري,https://ia802900.us.archive.org/zip_dir.php?path=/3/items/dos_6.zip&formats=VBR%20MP3
مصطفي اسماعيل,https://ia800602.us.archive.org/zip_dir.php?path=/32/items/Mustafa_Ismail_Murattil.zip&formats=VBR%20MP3
يحيي حوى,https://ia800201.us.archive.org/zip_dir.php?path=/25/items/Yahya-Hawa.zip&formats=VBR%20MP3
